00001.png,48.86
00002.png,62.5
00003.png,77.25
00004.png,67
00005.png,22.71
00006.png,33.17
00007.png,73
00008.png,20.14
00009.png,12.5
00010.png,56.25
00011.png,63.13
00012.png,20.14
00013.png,25
00014.png,5.83
00015.png,29.11
00016.png,76.14
00017.png,56.29
00018.png,31.57
00019.png,70.57
00020.png,59.88
00021.png,74.13
00022.png,58.75
00023.png,44.13
00024.png,36.75
00025.png,56
00026.png,71.43
00027.png,48.88
00028.png,8.86
00029.png,16.86
00030.png,41
00031.png,78.83
00032.png,70.86
00033.png,64.83
00034.png,91.2
00035.png,38.17
00036.png,27
00037.png,64.71
00038.png,8
00039.png,63
00040.png,25.17
00041.png,22.5
00042.png,50.29
00043.png,51.83
00044.png,34.17
00045.png,8.71
00046.png,16.67
00047.png,22.57
00048.png,22.43
00049.png,36.83
00050.png,58.83
00051.png,11.67
00052.png,75.83
00053.png,71
00054.png,19.33
00055.png,14
00056.png,67
00057.png,65.56
00058.png,45.7
00059.png,32.6
00060.png,16.13
00061.png,78
00062.png,32.5
00063.png,37.6
00064.png,31.33
00065.png,32.78
00066.png,67.63
00067.png,67.86
00068.png,18.63
00069.png,66.88
00070.png,56
00071.png,46.22
00072.png,21.88
00073.png,34.4
00074.png,38.43
00075.png,39.88
00076.png,28.38
00077.png,49.88
00078.png,67.14
00079.png,26.63
00080.png,41.88
00081.png,7.43
00082.png,73.38
00083.png,61.71
00084.png,46.71
00085.png,16.57
00086.png,32.86
00087.png,56.57
00088.png,75.86
00089.png,73.88
00090.png,54.71
00091.png,78.86
00092.png,49.86
00093.png,34.29
00094.png,34
00095.png,47.86
00096.png,34.9
00097.png,58.38
00098.png,49.14
00099.png,41.14
00100.png,50.63
00101.png,16
00102.png,35.29
00103.png,42.5
00104.png,58.88
00105.png,47.88
00106.png,68.86
00107.png,38.88
00108.png,64
00109.png,60.13
00110.png,37.14
00111.png,43.57
00112.png,27.88
00113.png,20.5
00114.png,14.57
00115.png,78.14
00116.png,54.63
00117.png,75.43
00118.png,39.86
00119.png,53.63
00120.png,51.29
00121.png,64.57
00122.png,38.57
00123.png,26.57
00124.png,67.14
00125.png,43
00126.png,82.14
00127.png,77.38
00128.png,74
00129.png,44
00130.png,12.83
00131.png,42.44
00132.png,56.89
00133.png,71.89
00134.png,53
00135.png,77.56
00136.png,21.75
00137.png,52.7
00138.png,20
00139.png,52.78
00140.png,22
00141.png,30.8
00142.png,15.6
00143.png,75.3
00144.png,29.2
00145.png,40.67
00146.png,34
00147.png,37.8
00148.png,80.44
00149.png,68.89
00150.png,79
00151.png,42.22
00152.png,21.7
00153.png,81.89
00154.png,91.38
00155.png,44.63
00156.png,34
00157.png,79.89
00158.png,49.7
00159.png,71.67
00160.png,46.8
00161.png,37.18
00162.png,31.18
00163.png,80.56
00164.png,45.11
00165.png,79.89
00166.png,25.82
00167.png,32.75
00168.png,73.7
00169.png,77.78
00170.png,73.11
00171.png,62.5
00172.png,62.6
00173.png,35.11
00174.png,79
00175.png,23
00176.png,78.91
00177.png,79.2
00178.png,53.67
00179.png,71.33
00180.png,75.2
00181.png,43.56
00182.png,80.5
00183.png,59.4
00184.png,54.4
00185.png,64.89
00186.png,64.25
00187.png,26.6
00188.png,67.7
00189.png,44.2
00190.png,57.44
00191.png,33.38
00192.png,60.78
00193.png,37.11
00194.png,62
00195.png,41.5
00196.png,10.88
00197.png,39.33
00198.png,42.25
00199.png,51
00200.png,75.38
00201.png,34.5
00202.png,64.75
00203.png,76.44
00204.png,78.38
00205.png,34.63
00206.png,12.75
00207.png,57.56
00208.png,46.86
00209.png,34.29
00210.png,85.5
00211.png,46.92
00212.png,34.42
00213.png,20.18
00214.png,18.38
00215.png,13.83
00216.png,73.23
00217.png,21.62
00218.png,48
00219.png,61.42
00220.png,14.64
00221.png,78.5
00222.png,58.08
00223.png,50.83
00224.png,19.08
00225.png,27.17
00226.png,35.46
00227.png,82.31
00228.png,73.83
00229.png,11.54
00230.png,48
00231.png,62.43
00232.png,53.08
